광역자치단체명,기초자치단체명,축제명,축제 유형,개최 장소,축제유형,시도,시군구,읍면동,시작월,시작일,종료월,종료일,개최 주기,개최 방식,"최초
개최연도",전년도 방문객 수 (전체), 내국인(명) ,외국인(명)
강원,춘천시,춘천 감자페스타,지역특산물,신북장터,마을형,강원,춘천시,신북읍,6,,6,,매년,대면,2024,"20,000","20,000",0
강원,춘천시,춘천 호수 드론 라이트쇼,문화예술,공지천,수변형,강원,춘천시,근화동,6,,9,,매년,대면,2023,"30,000","30,000",0
강원,춘천시,2025 썸머워터페스티벌,문화예술,의암공원 일원,녹지형,강원,춘천시,강남동,7,25,8,13,일회성,대면,2025,최초 행사,최초 행사,최초 행사
강원,춘천시,춘천막국수닭갈비축제,지역특산물,"주 행사장(공지천일원), 권역별 행사장(명동, 후평동, 온의동 일원)",수변형,강원,춘천시,,10,16,10,19,매년,대면,2008,"128,373","128,373",0
강원,원주시, 2025 댄싱카니발,문화예술,원주댄싱공연장 일원,독립형,강원,원주시,명륜1동,9,26,9,28,매년,대면,2011,"318,718","318,718",0
강원,원주시,원주 한지문화제,문화예술,원주한지테마파크 일원,녹지형,강원,원주시,무실동,5,22,5,25,매년,복합,1999,"260,000","260,000",0
강원,원주시,용수골꽃양귀비축제,문화예술,용수골꽃농장,마을형,강원,원주시,판부면,5,,5,,매년,대면,2008,"35,176","35,176",0
강원,원주시,장미축제,문화예술,장미공원,녹지형,강원,원주시,단계동,6,4,6,8,매년,대면,1999,"46,000","46,000",0
강원,원주시,섬강축제,문화예술,간현유원지 제2주차장 일원,녹지형,강원,원주시,지정면,9,19,9,21,매년,대면,1993,"6,000","6,000",0
강원,원주시,남한강 코스모스 축제,문화예술,법천사지 일원,수변형,강원,원주시,부론면,5,,5,,매년,대면,2023,700,700,0
강원,원주시,신월랑 달빛 축제,문화예술,행구동수변공원 일원,녹지형,강원,원주시,행구동,6,,6,,매년,대면,2024,200,200,0
강원,원주시,제11회 치악산한우 축제,지역특산물,댄싱공연장 일원,독립형,강원,원주시,명륜동,5,23,5,25,매년,대면,2015,"4,174","4,174",0
강원,원주시,댄싱카니발과 함께하는 치악산한우 숯불구이행사,지역특산물,댄싱공연장 일원,독립형,강원,원주시,명륜동,9,26,9,28,일회성,대면,2025,최초 행사,최초 행사,최초 행사
강원,원주시,제13회 치악산 찰옥수수 축제,지역특산물,문막농민문화센터 일원,독립형,강원,원주시,문막읍,7,11,7,12,매년,대면,2012,"15,000","15,000",0
강원,원주시,제24회 치악산 복숭아 축제,지역특산물,댄싱공연장주차장 내 상설공연장,독립형,강원,원주시,명륜1동,8,,8,,매년,대면,2000,"7,000","7,000",0
강원,원주시,제4회 치악산 고구마 축제,지역특산물,간현관광지 일원,수변형,강원,원주시,지정면,10,18,10,19,매년,대면,2022,"10,000","10,000",0
